,A_mu_list_1,A_mu_list_2,Average_list_1,Average_list_2,F_mu_list_1,F_mu_list_2,M_list_1,M_list_2
0,0.0,0.032960228621959686,0.18290299,0.07948056,2.0624947547912598,9420676096.0,7.949352264404297,4.398179531097412
1,60889076.0,0.0,0.18456596,0.079673246,0.0,,9.626859664916992,5.103240489959717
2,,0.032211024314165115,0.18602632,0.07958197,4.802251929447721e-10,,8.198107719421387,4.598296642303467
3,0.016874302178621292,0.0,0.17613703,0.077907294,2.0624852180480957,,8.18813419342041,4.4467244148254395
4,0.017516152933239937,0.0338863804936409,0.18424118,0.07891633,0.0,,9.160051345825195,4.498074054718018
5,0.0,4.920634212590702e-12,0.18224297,0.080681875,,,10.19991397857666,5.503090858459473
6,0.0,0.0,0.18692036,0.08167349,0.0,,9.388093948364258,4.403242111206055
7,0.0,0.020163938403129578,0.19066904,0.08357683,4.80169959349297e-10,9419982848.0,10.462725639343262,5.517148017883301
8,74124464.0,0.0,0.17363629,0.07819372,,,8.122984886169434,4.464024543762207
9,,0.0,0.17691885,0.07812906,4.801595232528655e-10,0.0,7.056532859802246,3.1947410106658936
10,0.0,,0.1831119,0.07989565,0.0,0.0,8.822381019592285,4.289785385131836
11,0.009501026943325996,,0.1891219,0.082076594,,,10.097572326660156,5.15097188949585
12,0.0,0.0,0.17970595,0.078450814,,,7.414094924926758,3.978764057159424
13,,140115952.0,0.19207017,0.079703994,4.801746777971516e-10,5.106971512347513e-10,8.000186920166016,4.592844009399414
14,0.023436175659298897,183664976.0,0.18258154,0.079367384,2.0622363090515137,5.1068266282428e-10,7.25764274597168,4.082618236541748
15,0.0,,0.18239506,0.08069656,4.801515851582394e-10,,8.33928108215332,4.03285551071167
16,3.364588555682113e-12,6.497931099441745e-12,0.18023244,0.08094112,,0.0,9.391039848327637,4.936091423034668
17,0.0,,0.18546526,0.08156928,2.0622591972351074,,7.921911716461182,4.129638671875
18,,0.02299116738140583,0.1837155,0.082162574,,2.1932103633880615,9.498239517211914,5.541569232940674
19,3.000245234544008e-12,5.353655019302295e-12,0.18393676,0.08079781,0.0,,9.106901168823242,5.230132579803467
20,67377688.0,0.028463859111070633,0.18515038,0.081584536,2.0620028972625732,9419210752.0,8.699551582336426,5.1283488273620605
21,2.164365908718935e-12,,0.17964989,0.08231361,2.0619847774505615,,10.582884788513184,6.014229774475098
22,3.3956045440708404e-12,,0.18919834,0.082525454,8855848960.0,,9.324376106262207,5.0592041015625
23,73957696.0,,0.1815149,0.079551704,8855969792.0,,8.436837196350098,4.140242099761963
24,0.0,,0.18723376,0.08102964,,,7.596253871917725,4.019345760345459
25,0.0,,0.17829813,0.08179925,0.0,,9.844858169555664,5.166889190673828
26,0.0,91405408.0,0.18570387,0.08333842,0.0,2.1930789947509766,9.84777545928955,5.282424449920654
27,0.0,0.027438277378678322,0.17767657,0.08109277,,2.193091630935669,9.289270401000977,4.386296272277832
28,0.0,0.0,0.19226514,0.08270218,2.0615251064300537,,8.3555269241333,4.080704212188721
29,,,0.17587568,0.08046106,8854431744.0,0.0,9.981404304504395,5.1832194328308105
30,0.0,0.0,0.18194978,0.084616765,0.0,,10.474431991577148,5.6875505447387695
31,,0.0,0.17736633,0.08047972,,9419106304.0,10.308907508850098,5.3901591300964355
32,4.150230940164201e-12,,0.1755405,0.079986826,,5.10606334991337e-10,9.271902084350586,3.8115155696868896
33,,0.016820410266518593,0.18599525,0.08529393,,,11.70134449005127,6.175378799438477
34,52390236.0,0.0,0.18608,0.08339963,2.0612876415252686,,9.138145446777344,4.955109119415283
35,,,0.18034701,0.080841444,,9419064320.0,7.0636773109436035,3.785909652709961
36,77643016.0,,0.18057883,0.08154063,0.0,,8.569576263427734,4.5373992919921875
37,0.009074429981410503,,0.18697198,0.08532318,,0.0,10.04395580291748,5.238422870635986
38,,,0.1770869,0.08239074,,,7.885982990264893,3.9760754108428955
39,94498480.0,,0.19058461,0.08353304,,,7.288941860198975,3.919715642929077
40,,0.028630362823605537,0.18445186,0.085006915,0.0,,8.580723762512207,4.487617015838623
41,,6.175109902584186e-12,0.1880657,0.0858282,0.0,,9.568927764892578,4.759586334228516
42,0.0,0.0,0.18164195,0.08313392,8850905088.0,2.192917585372925,9.333417892456055,4.1151652336120605
43,,,0.17796628,0.08218557,0.0,9418449920.0,8.156831741333008,3.9039652347564697
44,,107989144.0,0.19132322,0.086528346,,,9.601675033569336,5.271425247192383
45,0.0,,0.18500231,0.08364433,,9417765888.0,8.496512413024902,4.330755233764648
46,0.0,0.029358919709920883,0.182225,0.0850202,2.0602991580963135,,8.957076072692871,4.284975528717041
