,counter,losses
0,0,2.293959379196167
1,640,2.312851905822754
2,1280,2.2999801635742188
3,1920,2.316068172454834
4,2560,2.3162548542022705
5,3200,2.318263530731201
6,3840,2.2847766876220703
7,4480,2.300018787384033
8,5120,2.311607599258423
9,5760,2.3249330520629883
10,6400,2.300504684448242
11,7040,2.296354293823242
12,7680,2.2941439151763916
13,8320,2.3002827167510986
14,8960,2.2962512969970703
15,9600,2.322127103805542
16,10240,2.2884488105773926
17,10880,2.3198800086975098
18,11520,2.3004953861236572
19,12160,2.297534704208374
20,12800,2.30495285987854
21,13440,2.2992091178894043
22,14080,2.29433536529541
23,14720,2.313586711883545
24,15360,2.3052287101745605
25,16000,2.271731376647949
26,16640,2.321969747543335
27,17280,2.306577682495117
28,17920,2.283950090408325
29,18560,2.310394763946533
30,19200,2.309682846069336
31,19840,2.3076746463775635
32,20480,2.2943735122680664
33,21120,2.316465377807617
34,21760,2.3022944927215576
35,22400,2.309171676635742
36,23040,2.2856602668762207
37,23680,2.3217766284942627
38,24320,2.2821595668792725
39,24960,2.325498104095459
40,25600,2.3102686405181885
41,26240,2.292750835418701
42,26880,2.3111536502838135
43,27520,2.28102707862854
44,28160,2.30198335647583
45,28800,2.293788194656372
46,29440,2.316575288772583
47,30080,2.3001623153686523
48,30720,2.3015377521514893
49,31360,2.3306093215942383
50,32000,2.311743974685669
51,32640,2.299917697906494
52,33280,2.297104597091675
53,33920,2.29842472076416
54,34560,2.322585105895996
55,35200,2.3098819255828857
56,35840,2.2875189781188965
57,36480,2.303312301635742
58,37120,2.312030792236328
59,37760,2.3035225868225098
60,38400,2.2924540042877197
61,39040,2.301669120788574
62,39680,2.2990477085113525
63,40320,2.303297281265259
64,40960,2.2985525131225586
65,41600,2.3102803230285645
66,42240,2.2969887256622314
67,42880,2.3003454208374023
68,43520,2.2963626384735107
69,44160,2.30735182762146
70,44800,2.3027994632720947
71,45440,2.299213171005249
72,46080,2.3127658367156982
73,46720,2.2985217571258545
74,47360,2.2988064289093018
75,48000,2.305532693862915
76,48640,2.309070587158203
77,49280,2.2948713302612305
78,49920,2.3002569675445557
79,50560,2.294102191925049
80,51200,2.319556474685669
81,51840,2.3076374530792236
82,52480,2.304863452911377
83,53120,2.3047969341278076
84,53760,2.3069558143615723
85,54400,2.3002889156341553
86,55040,2.3105967044830322
87,55680,2.300605297088623
88,56320,2.2882418632507324
89,56960,2.2952377796173096
90,57600,2.300672769546509
91,58240,2.306121587753296
92,58880,2.3132152557373047
93,59520,2.313758373260498
94,60000,2.3144655227661133
95,60640,2.315807819366455
96,61280,2.282796859741211
97,61920,2.3036224842071533
98,62560,2.294799566268921
99,63200,2.2977161407470703
100,63840,2.2941336631774902
101,64480,2.3036460876464844
102,65120,2.3055198192596436
103,65760,2.305490255355835
104,66400,2.3082127571105957
105,67040,2.288090467453003
106,67680,2.3118960857391357
107,68320,2.296717882156372
108,68960,2.296790838241577
109,69600,2.2870283126831055
110,70240,2.3021860122680664
111,70880,2.293990135192871
112,71520,2.314607858657837
113,72160,2.293776512145996
114,72800,2.294356346130371
115,73440,2.298563003540039
116,74080,2.295382499694824
117,74720,2.3055436611175537
118,75360,2.292886257171631
119,76000,2.298004388809204
120,76640,2.290166139602661
121,77280,2.2980592250823975
122,77920,2.2970855236053467
123,78560,2.2934629917144775
124,79200,2.29476261138916
125,79840,2.2852020263671875
126,80480,2.298403739929199
127,81120,2.2935585975646973
128,81760,2.2920780181884766
129,82400,2.288095712661743
130,83040,2.3114545345306396
131,83680,2.3024628162384033
132,84320,2.3077194690704346
133,84960,2.295151710510254
134,85600,2.2883732318878174
135,86240,2.2867584228515625
136,86880,2.2978477478027344
137,87520,2.2946650981903076
138,88160,2.312161445617676
139,88800,2.297299861907959
140,89440,2.313753843307495
141,90080,2.3008153438568115
142,90720,2.2902960777282715
143,91360,2.310816526412964
144,92000,2.307156562805176
145,92640,2.3066158294677734
146,93280,2.2972378730773926
147,93920,2.3047378063201904
148,94560,2.285196304321289
149,95200,2.2992019653320312
150,95840,2.2910501956939697
151,96480,2.309130907058716
152,97120,2.3042757511138916
153,97760,2.2951738834381104
154,98400,2.295135736465454
155,99040,2.304612636566162
156,99680,2.2952258586883545
157,100320,2.2868268489837646
158,100960,2.2938921451568604
159,101600,2.301816463470459
160,102240,2.274928331375122
161,102880,2.3006577491760254
162,103520,2.3044557571411133
163,104160,2.313537359237671
164,104800,2.3029510974884033
165,105440,2.3045809268951416
166,106080,2.298264503479004
167,106720,2.2940878868103027
168,107360,2.298360586166382
169,108000,2.2928850650787354
170,108640,2.312267541885376
171,109280,2.301307201385498
172,109920,2.306344985961914
173,110560,2.2881906032562256
174,111200,2.289210319519043
175,111840,2.306107997894287
176,112480,2.320479393005371
177,113120,2.301358699798584
178,113760,2.298731565475464
179,114400,2.293555736541748
180,115040,2.3033905029296875
181,115680,2.3007798194885254
182,116320,2.2928593158721924
183,116960,2.2970099449157715
184,117600,2.294895887374878
185,118240,2.2949225902557373
186,118880,2.314469337463379
187,119520,2.2974741458892822
