,losses,counter
0,2.30098032951355,0
1,2.3196489810943604,640
2,2.27858567237854,1280
3,2.29545259475708,1920
4,2.2951529026031494,2560
5,2.292517900466919,3200
6,2.323148250579834,3840
7,2.304645538330078,4480
8,2.328287601470948,5120
9,2.29362154006958,5760
10,2.3099429607391357,6400
11,2.3029141426086426,7040
12,2.3113017082214355,7680
13,2.296964168548584,8320
14,2.309427261352539,8960
15,2.281299829483032,9600
16,2.3137545585632324,10240
17,2.298872947692871,10880
18,2.3081159591674805,11520
19,2.3034048080444336,12160
20,2.319897651672364,12800
21,2.3043437004089355,13440
22,2.313927412033081,14080
23,2.291449785232544,14720
24,2.309116840362549,15360
25,2.303955316543579,16000
26,2.3045499324798584,16640
27,2.303606033325196,17280
28,2.3078033924102783,17920
29,2.295431613922119,18560
30,2.2994723320007324,19200
31,2.289149761199951,19840
32,2.301408767700196,20480
33,2.304177045822144,21120
34,2.3038246631622314,21760
35,2.308391094207764,22400
36,2.2995288372039795,23040
37,2.310861587524414,23680
38,2.310088872909546,24320
39,2.296894788742065,24960
40,2.3028175830841064,25600
41,2.3035054206848145,26240
42,2.295966386795044,26880
43,2.2986984252929688,27520
44,2.3080174922943115,28160
45,2.2969138622283936,28800
46,2.305612325668335,29440
47,2.2931559085845947,30080
48,2.2978498935699463,30720
49,2.2901108264923096,31360
50,2.296904802322388,32000
51,2.302103281021118,32640
52,2.2976174354553223,33280
53,2.3019723892211914,33920
54,2.296014308929444,34560
55,2.309099674224853,35200
56,2.3046538829803467,35840
57,2.297192096710205,36480
58,2.300708770751953,37120
59,2.301650047302246,37760
60,2.301060914993286,38400
61,2.2947263717651367,39040
62,2.2878925800323486,39680
63,2.294198989868164,40320
64,2.2974157333374023,40960
65,2.290809154510498,41600
66,2.299686908721924,42240
67,2.293478488922119,42880
68,2.2940683364868164,43520
69,2.2929365634918213,44160
70,2.291715621948242,44800
71,2.301435708999634,45440
72,2.2850379943847656,46080
73,2.282909870147705,46720
74,2.2966103553771973,47360
75,2.293428659439087,48000
76,2.283459186553955,48640
77,2.289489984512329,49280
78,2.2858622074127197,49920
79,2.2985355854034424,50560
80,2.2890212535858154,51200
81,2.2813804149627686,51840
82,2.279421806335449,52480
83,2.278353214263916,53120
84,2.282658100128174,53760
85,2.287263870239258,54400
86,2.2845265865325928,55040
87,2.2813262939453125,55680
88,2.2709596157073975,56320
89,2.2795908451080322,56960
90,2.2794065475463867,57600
91,2.26855206489563,58240
92,2.2708027362823486,58880
93,2.2536659240722656,59520
94,2.266324520111084,60000
95,2.270615339279175,60640
96,2.2686662673950195,61280
97,2.30022931098938,61920
98,2.2496700286865234,62560
99,2.2625439167022705,63200
100,2.2537660598754883,63840
101,2.226155996322632,64480
102,2.2508881092071533,65120
103,2.223026990890503,65760
104,2.1637845039367676,66400
105,2.256338357925415,67040
106,2.2487692832946777,67680
107,2.221278190612793,68320
108,2.2156810760498047,68960
109,2.150238513946533,69600
110,2.197296142578125,70240
111,2.1284596920013428,70880
112,2.1481003761291504,71520
113,2.1601929664611816,72160
114,2.146028518676758,72800
115,2.0995476245880127,73440
116,2.148103713989258,74080
117,2.0833323001861572,74720
118,2.1630382537841797,75360
119,2.0898659229278564,76000
120,2.0470359325408936,76640
121,2.0666565895080566,77280
122,2.0640854835510254,77920
123,2.0421218872070312,78560
124,2.1209464073181152,79200
125,2.041316270828247,79840
126,1.9753718376159668,80480
127,1.977205753326416,81120
128,2.0087709426879883,81760
129,1.9468531608581543,82400
130,1.7902427911758423,83040
131,1.8752399682998657,83680
132,1.8108079433441162,84320
133,1.8444863557815552,84960
134,1.9775192737579346,85600
135,1.8662021160125732,86240
136,1.7773038148880005,86880
137,1.9200297594070435,87520
138,1.8702999353408813,88160
139,1.6689528226852417,88800
140,1.8623071908950806,89440
141,1.7653807401657104,90080
142,1.7609049081802368,90720
143,1.746179223060608,91360
144,1.7144029140472412,92000
145,1.7543635368347168,92640
146,1.6549791097640991,93280
147,1.670652985572815,93920
148,1.5935454368591309,94560
149,1.492777943611145,95200
150,1.6107606887817383,95840
151,1.6995562314987183,96480
152,1.5204867124557495,97120
153,1.3462718725204468,97760
154,1.5973376035690308,98400
155,1.5446017980575562,99040
156,1.6160513162612915,99680
157,1.5678470134735107,100320
158,1.4690555334091187,100960
159,1.5158718824386597,101600
160,1.4392653703689575,102240
161,1.419726014137268,102880
162,1.380169153213501,103520
163,1.3773010969161987,104160
164,1.3993252515792847,104800
165,1.3529541492462158,105440
166,1.3180841207504272,106080
167,1.3778300285339355,106720
168,1.374674677848816,107360
169,1.384179949760437,108000
170,1.37263023853302,108640
171,1.5222969055175781,109280
172,1.4250743389129639,109920
173,1.4429521560668945,110560
174,1.2723268270492554,111200
175,1.2792282104492188,111840
176,1.22441828250885,112480
177,1.186652660369873,113120
178,1.3600887060165405,113760
179,1.2221580743789673,114400
180,1.0929062366485596,115040
181,1.2697336673736572,115680
182,1.108535647392273,116320
183,1.0950671434402466,116960
184,1.0851502418518066,117600
185,1.1923534870147705,118240
186,1.1157110929489136,118880
187,1.1422454118728638,119520
