,A_mu_list_1,A_mu_list_2,Average_list_1,Average_list_2,F_mu_list_1,F_mu_list_2,M_list_1,M_list_2
0,,,0.4076564,0.31544957,0.0,9021186048.0,9.746273040771484,6.528189182281494
1,0.0,4.5636125087233914e-12,0.38582224,0.3595026,,4.890112759170506e-10,11.67973518371582,9.747703552246094
2,0.007933511398732662,,0.42552975,0.34778443,8015167488.0,,11.893728256225586,8.157624244689941
3,0.0,0.0,0.37105405,0.2880037,4.3449932540795544e-10,0.0,9.118980407714844,5.990012168884277
4,,,0.2606136,0.17573263,0.0,,5.776923179626465,4.479645252227783
5,3.400639145278994e-12,147468976.0,0.3429517,0.24789552,0.0,9022046208.0,9.400733947753906,5.018462181091309
6,,9.777611879868697e-12,0.3118209,0.20715134,1.866286039352417,0.0,6.721593856811523,3.9708874225616455
7,0.013478554785251617,0.0,0.35741228,0.2844615,0.0,4.889907923022463e-10,9.63918399810791,5.787837028503418
8,0.0,7.386634706674222e-12,0.34171894,0.26058862,,2.100165605545044,8.526328086853027,5.682693004608154
9,,,0.37998483,0.2878953,,0.0,9.869853973388672,6.09801721572876
10,,0.022029466927051544,0.4111201,0.3261171,,0.0,11.255159378051758,7.188692569732666
11,5.681334742935196e-12,,0.25456575,0.16962597,0.0,2.100389242172241,5.360959053039551,3.6076979637145996
12,,0.03236475959420204,0.2882688,0.21443745,8015967744.0,,6.844176292419434,5.2144341468811035
13,4.2529838158167355e-12,0.0,0.3266381,0.23768604,0.0,,8.103175163269043,4.690152168273926
14,,0.0,0.36719155,0.25611365,,0.0,8.355045318603516,5.493363857269287
15,,0.03921199217438698,0.29896218,0.20444405,0.0,9023890432.0,6.892671585083008,4.0909881591796875
16,0.0,,0.36637023,0.2710345,8016177152.0,9024397312.0,9.700098991394043,5.1112961769104
17,,,0.35414252,0.25848413,8016302080.0,,8.997620582580566,5.4447855949401855
18,0.0,9.8068966142284e-12,0.31182513,0.2199883,1.8664299249649048,,8.064919471740723,4.328641891479492
19,,0.030488627031445503,0.33551484,0.25494033,,,9.22757339477539,5.531565189361572
20,,0.0,0.34242067,0.24573354,,9025078272.0,9.021795272827148,5.589134693145752
21,,0.0,0.3542546,0.26622543,,4.892882210505434e-10,8.490031242370605,5.305920600891113
22,0.0,0.02126369997859001,0.462302,0.35650682,,,10.739144325256348,7.420464038848877
23,0.012827797792851925,0.0,0.3746471,0.2721955,,,9.883977890014648,5.999738693237305
24,63680524.0,,0.34157792,0.2389719,1.8664249181747437,0.0,8.665189743041992,4.436501979827881
25,2.6743726590922057e-12,0.02526562102138996,0.36330658,0.300968,,2.101954221725464,9.733702659606934,6.5768537521362305
26,,,0.27717775,0.21623771,,,6.548708438873291,4.810494899749756
27,0.0,0.0,0.35432696,0.2987834,,0.0,9.738149642944336,7.215423107147217
28,0.009328934364020824,0.0,0.41151404,0.32829526,,4.893789817828065e-10,10.424497604370117,7.995608329772949
29,68530016.0,0.02688906155526638,0.3349708,0.270755,,,7.935663223266602,5.118112564086914
30,3.375885074957674e-12,0.0,0.33715722,0.28145334,0.0,,9.138910293579102,6.13181734085083
31,3.314447024130307e-12,0.0,0.36720875,0.27110022,8015968768.0,0.0,8.488210678100586,5.153655529022217
32,0.0,0.0,0.34871137,0.2677195,1.8663694858551025,,9.323036193847656,5.981145858764648
33,,0.026643840596079826,0.3511609,0.27800947,4.3455922194013397e-10,0.0,10.228269577026367,6.527486324310303
34,,,0.359328,0.27049488,8016270848.0,0.0,9.931120872497559,5.967675685882568
35,61352092.0,0.031751569360494614,0.3091878,0.24911663,,9027762176.0,8.529335021972656,6.041505813598633
36,3.902590056670263e-12,,0.33018944,0.23754248,4.345578896725044e-10,,8.407201766967773,5.045098304748535
37,0.0,0.0,0.4053282,0.30486375,8016168448.0,0.0,9.969321250915527,7.250993728637695
38,71303312.0,0.0,0.32281423,0.22960758,0.0,4.892901639408365e-10,8.287554740905762,4.7856669425964355
39,0.00917885359376669,,0.41120264,0.31817955,0.0,9026343936.0,11.076332092285156,5.983114719390869
40,5.740829686629034e-12,,0.31088772,0.19617209,0.0,0.0,6.192111015319824,3.645746946334839
41,0.0,,0.34538358,0.23261443,,9026098176.0,7.71002721786499,4.213400363922119
42,3.113160987680552e-12,0.0,0.38013813,0.26741695,0.0,0.0,8.423879623413086,4.886233806610107
43,4.432622238009776e-12,0.0,0.31317765,0.22998662,0.0,0.0,7.414978504180908,4.708328723907471
44,0.0,95526440.0,0.3589004,0.31068152,8016251392.0,,9.64484977722168,6.561581611633301
45,0.01741914637386799,,0.2919501,0.22934735,8016213504.0,4.893251359661122e-10,7.525579929351807,5.2393059730529785
46,0.0,0.021498868241906166,0.42233962,0.34535578,0.0,4.893718763554489e-10,10.977595329284668,7.348996162414551
47,5.223658745140414e-12,0.0,0.2868058,0.1965574,0.0,0.0,6.54401159286499,3.8631110191345215
48,0.011231972835958004,0.02278340421617031,0.37349722,0.31524047,0.0,0.0,9.771242141723633,7.142866134643555
49,,0.0,0.36777183,0.3014875,4.345591386734071e-10,9027110912.0,9.020123481750488,5.9361467361450195
50,,0.0,0.26703745,0.17905712,8016194560.0,4.893187521837206e-10,7.145678520202637,4.805703639984131
51,,0.043136291205883026,0.26892215,0.19145758,,4.892851679372257e-10,7.042870998382568,4.088230609893799
52,0.01419924572110176,,0.36247718,0.27813894,1.8664865493774414,9025841152.0,8.911730766296387,5.400457382202148
53,0.0,,0.31345516,0.24789706,1.8664610385894775,,8.050674438476562,5.735595226287842
54,,0.024146880954504013,0.37435275,0.30618104,4.3457837328730875e-10,9024884736.0,9.491484642028809,6.164056777954102
55,0.0,0.030172429978847504,0.33834803,0.26091224,4.345681314799066e-10,0.0,8.963744163513184,5.345402717590332
56,0.0,0.027820559218525887,0.35071108,0.27194333,8016371712.0,0.0,9.393976211547852,5.021965503692627
57,0.0,0.0,0.32783505,0.26661164,,0.0,8.59415054321289,5.678069114685059
58,,0.0,0.4280909,0.36683697,0.0,2.1009490489959717,10.382678985595703,7.288421630859375
59,,,0.34265995,0.26648995,1.8665114641189575,,9.251566886901855,5.8208184242248535
60,,0.0,0.3231599,0.27793998,1.8665764331817627,,8.245072364807129,6.51668119430542
61,,152714464.0,0.28511897,0.21694839,8016669696.0,4.894267213728654e-10,7.242615699768066,5.087429046630859
62,,0.0,0.28291437,0.215524,,9027699712.0,7.201595783233643,4.9284772872924805
63,102330592.0,9.830701357127491e-12,0.2735308,0.19847354,8016520192.0,,7.261114597320557,4.485538005828857
64,4.32406627864923e-12,,0.31941366,0.24522726,1.8664909601211548,9028224000.0,8.095911979675293,5.300164222717285
65,,0.023803409188985825,0.41307652,0.33446124,,2.1020760536193848,10.263619422912598,6.315814018249512
66,,,0.35216227,0.2589354,1.8665215969085693,9028739072.0,8.670446395874023,6.192812919616699
67,0.013444933108985424,0.0,0.36290425,0.28407204,0.0,4.894282201739486e-10,9.065764427185059,5.936750411987305
68,0.0,0.0,0.35086748,0.29499942,,0.0,9.074231147766113,6.531002521514893
69,,,0.31165847,0.22170222,0.0,2.1019275188446045,7.2668561935424805,4.388853549957275
70,,,0.39169306,0.33738017,0.0,,10.262471199035645,7.267294406890869
71,,0.0,0.3480096,0.27629042,,9026360320.0,9.208621978759766,5.891501426696777
72,3.982046463402167e-12,0.0,0.33940348,0.25308073,0.0,0.0,7.817935943603516,4.963438987731934
73,0.0,,0.2773674,0.20173638,,,6.843805313110352,4.541470527648926
74,,,0.3181818,0.21962342,8016516096.0,4.892556915159219e-10,7.461788177490234,4.445049285888672
75,,125138344.0,0.35274145,0.27365953,0.0,0.0,8.943108558654785,5.661900520324707
76,0.0,0.027643932029604912,0.38105357,0.28151077,1.866500735282898,0.0,8.022176742553711,6.38367223739624
77,,,0.34354386,0.26503843,,4.892633520547918e-10,8.698651313781738,5.64528751373291
78,0.0,0.0,0.36800876,0.3040474,,2.1012566089630127,8.204839706420898,6.394557952880859
79,0.0,0.028788065537810326,0.37410852,0.2825275,,,9.059440612792969,6.391012668609619
80,4.050245815817588e-12,0.0,0.32670444,0.25091153,,0.0,8.29936408996582,5.581879138946533
81,,,0.2777883,0.20276546,,,6.91002893447876,4.650877475738525
82,,0.04204392060637474,0.29741684,0.21166638,1.8665790557861328,9023296512.0,7.572980880737305,4.690157413482666
83,,0.0,0.30409336,0.23709686,,,8.082676887512207,4.5786519050598145
84,,0.0,0.3640902,0.2675826,0.0,9021175808.0,8.757955551147461,5.6976776123046875
85,2.963221898757973e-12,,0.3779977,0.28816277,,2.1002824306488037,8.872724533081055,6.227563858032227
86,0.01745492033660412,,0.3052398,0.23415944,,,8.295899391174316,5.114625453948975
87,37004504.0,,0.4493529,0.37493148,,,10.203569412231445,8.065583229064941
88,2.4155050789426147e-12,0.0,0.42235374,0.30476436,,,9.363067626953125,5.704120635986328
89,0.0,7.415467545568433e-12,0.33828005,0.26331732,,0.0,8.678096771240234,4.9746856689453125
90,0.0,0.0,0.34706175,0.26652348,8017158144.0,,8.827595710754395,5.503322124481201
91,,0.0,0.3817605,0.32020146,1.8666150569915771,0.0,9.807672500610352,6.708416938781738
92,0.01256447471678257,0.0,0.3618546,0.28209952,1.866646647453308,0.0,10.549066543579102,6.641622066497803
93,,0.0,0.38669932,0.2815766,8017143296.0,9020099584.0,11.139710426330566,6.593619346618652
94,0.0,0.0,0.27314803,0.19067298,,,6.448887825012207,4.407611846923828
95,2.5165718033764994e-12,0.023013439029455185,0.3756303,0.30683565,1.8665541410446167,,10.304437637329102,7.005311012268066
96,77835984.0,0.03246362879872322,0.31471577,0.23493743,0.0,2.1006624698638916,7.92352819442749,5.002552509307861
97,3.5491626998451764e-12,,0.34400406,0.25870863,8016658432.0,,8.7368803024292,5.173563480377197
98,,132772296.0,0.32660165,0.2506249,0.0,9019269120.0,8.030168533325195,5.11356258392334
99,0.0,,0.34544593,0.27211946,4.3458814324992545e-10,4.890166049875688e-10,8.489468574523926,5.05509090423584
100,,0.0,0.33172652,0.25683528,4.3456557796694995e-10,0.0,7.747253894805908,4.975906848907471
101,,,0.33511397,0.25657725,,,9.151611328125,5.93938684463501
102,0.014014040119946003,6.660698034788304e-12,0.31121612,0.25973213,,,8.425980567932129,5.691488265991211
103,0.0,0.0249186921864748,0.33009413,0.27528602,,4.889207927405437e-10,8.286417961120605,5.327193260192871
104,4.630784471160165e-12,8.724472533305772e-12,0.32767186,0.2307107,,0.0,7.446192264556885,4.527308464050293
105,0.013754021376371384,0.0,0.3611442,0.27752203,0.0,0.0,8.963485717773438,6.1532368659973145
106,3.145755357591984e-12,,0.33672285,0.26693374,8014991872.0,0.0,9.557106018066406,5.439119338989258
107,72778152.0,,0.35410798,0.25470147,0.0,2.099999189376831,8.204054832458496,4.929482460021973
108,0.015478387475013733,0.0,0.35929418,0.24912044,,,8.403861045837402,4.714614391326904
