,A_mu_list_1,A_mu_list_2,Average_list_1,Average_list_2,F_mu_list_1,F_mu_list_2,M_list_1,M_list_2
0,102379552.0,0.05326664075255394,0.20963989,0.14971139,0.0,,7.13134765625,3.565739154815674
1,,134304192.0,0.2662519,0.21241021,0.0,,10.52325439453125,6.247420310974121
2,0.0,0.030525971204042435,0.24642551,0.20601371,,8972923904.0,8.830892562866211,5.31864070892334
3,2.5683665264009115e-12,0.02602436952292919,0.27777928,0.229274,4.573859346823639e-10,,10.857065200805664,6.888545513153076
4,0.014800994656980038,,0.26647425,0.21060173,,,9.095560073852539,6.0620951652526855
5,2.0542140037604906e-12,0.0,0.30161136,0.25958318,,4.863213720618376e-10,11.516759872436523,6.819653511047363
6,0.0,6.391799416138877e-12,0.2746465,0.22671227,0.0,8971249664.0,9.920696258544922,6.011390209197998
7,0.0,0.04373344033956528,0.21335953,0.15581676,,,7.273098468780518,4.133203506469727
8,0.0,,0.32799622,0.26064187,,4.861713254200595e-10,10.943511009216309,7.048770904541016
9,,,0.24670763,0.19226494,,0.0,9.184138298034668,5.2268781661987305
10,3.824606863850333e-12,0.0,0.24373098,0.18122235,8437003776.0,2.0884292125701904,9.412590026855469,5.05739164352417
11,,,0.22551689,0.19511898,1.964468002319336,4.862642510872206e-10,7.758011341094971,5.620114803314209
12,,,0.18821351,0.13845268,1.9644559621810913,0.0,5.817052841186523,4.084178924560547
13,0.0,,0.2790537,0.21563463,,4.862946156869441e-10,10.047619819641113,5.4061689376831055
14,0.0,0.0,0.2866488,0.25692976,,,10.128196716308594,6.9228692054748535
15,0.009844730608165264,,0.30123493,0.22310483,0.0,,11.352934837341309,6.29915189743042
16,,0.045552074909210205,0.21287902,0.15903427,4.5737483245211763e-10,0.0,7.464603900909424,4.550450801849365
17,,0.028119586408138275,0.25403306,0.21746877,,0.0,9.252714157104492,6.278398036956787
18,3.9695746689716316e-12,149120432.0,0.22855653,0.18312182,0.0,,8.731779098510742,5.871360778808594
19,0.0,0.0,0.20309438,0.16303818,8437143040.0,2.088059425354004,7.051900386810303,5.373466968536377
20,,,0.24585627,0.206393,,,9.58647346496582,6.752979755401611
21,0.012075734324753284,0.023804398253560066,0.26621795,0.24645261,0.0,,10.388888359069824,7.147331714630127
22,0.0,,0.23095648,0.20575237,4.573950662667414e-10,8970644480.0,9.214397430419922,7.107056140899658
23,0.0,137960960.0,0.20393226,0.17878065,1.9644252061843872,,7.120698928833008,5.743441581726074
24,0.015048420988023281,132130720.0,0.2774075,0.20760718,,4.862892311052747e-10,8.50464916229248,5.268491744995117
25,61620748.0,0.0,0.23900275,0.18217036,0.0,,9.970405578613281,5.0730881690979
26,,187894272.0,0.26285234,0.17491241,,4.862284463946764e-10,8.674345016479492,4.242406845092773
27,76968384.0,7.760739967332952e-12,0.24522284,0.19230875,8437137920.0,0.0,8.49567985534668,5.652474880218506
28,,0.027553299441933632,0.2674275,0.22411843,4.573838252586171e-10,0.0,9.714447975158691,6.317161560058594
29,0.0,,0.2697781,0.20228815,0.0,8967994368.0,9.456502914428711,5.3574676513671875
30,48736388.0,0.023617370054125786,0.27837235,0.24940415,,,10.491409301757812,6.745860576629639
31,,7.2590041616527046e-12,0.2783535,0.21132167,,0.0,8.55629825592041,5.2562737464904785
32,0.0,,0.2720463,0.24434455,,,10.53882884979248,7.579350471496582
33,5.006078451080809e-12,0.0,0.22406611,0.165566,0.0,0.0,7.8723249435424805,4.619619369506836
34,51666500.0,0.0,0.26948076,0.2579585,4.573778022987085e-10,0.0,9.903267860412598,7.83630895614624
35,0.0,,0.2716685,0.20342903,0.0,,9.843655586242676,4.941755771636963
36,81732216.0,,0.23317684,0.1958088,8436721152.0,2.08835768699646,7.639806747436523,5.416036128997803
37,73391304.0,,0.23249304,0.20060873,4.573518785910835e-10,8970746880.0,8.419161796569824,6.197235107421875
38,41001052.0,0.0202790480107069,0.2933567,0.26707196,0.0,,11.183233261108398,7.923661708831787
39,95806000.0,0.0,0.19847618,0.15280746,,8970132480.0,6.652213096618652,4.938049793243408
40,,,0.21292785,0.15053645,,,8.115339279174805,4.564406394958496
41,0.0,6.400329485151124e-12,0.27871108,0.2388268,1.9643545150756836,2.0883283615112305,10.2379732131958,7.427396774291992
42,,,0.28199044,0.23390858,,2.0883288383483887,10.534756660461426,6.959274768829346
43,,0.0,0.2675608,0.18015023,,2.0885069370269775,8.685857772827148,4.324552059173584
44,,138198400.0,0.25516072,0.1975193,,,8.486210823059082,5.483164310455322
45,0.0,0.023925021290779114,0.29616162,0.25939068,,,10.219009399414062,6.719080924987793
46,3.764995260002735e-12,,0.23723246,0.19621101,0.0,0.0,9.138303756713867,6.329850673675537
47,,0.0,0.27778062,0.20284498,1.964432716369629,,8.97588062286377,4.835516929626465
48,,0.0,0.21786797,0.15756683,4.573799394780309e-10,,8.153027534484863,4.405553817749023
49,116512600.0,0.07008665055036545,0.20516312,0.12124922,,0.0,6.573075771331787,3.050429344177246
50,0.0,,0.25964162,0.18116447,,,9.245366096496582,4.433932304382324
51,0.0,0.0,0.2718908,0.19669311,,,9.593520164489746,4.716368198394775
52,,,0.24861899,0.17683396,,8967833600.0,7.910624980926514,4.628866672515869
53,,177038256.0,0.21511714,0.16977875,8437091840.0,,7.951453685760498,5.432915210723877
54,,,0.24926466,0.2005867,,4.862178437647913e-10,9.928483963012695,5.795443534851074
55,,0.0,0.24318081,0.19996591,,4.8619208659062e-10,8.99880313873291,5.445522308349609
56,0.0,,0.28894085,0.25695473,0.0,8969744384.0,10.868398666381836,6.841132164001465
57,78046728.0,0.0,0.23009853,0.18157281,8436049920.0,4.861825386726082e-10,8.182347297668457,5.394733905792236
58,,,0.24393447,0.20480761,4.5732459486025334e-10,,9.590875625610352,5.9350128173828125
59,56722956.0,,0.25119346,0.24655552,0.0,2.088268518447876,10.174830436706543,7.981502056121826
60,,0.0,0.21385594,0.15764213,8436020736.0,0.0,7.6221537590026855,3.9943158626556396
61,88847072.0,,0.20477141,0.15344301,,,6.746752738952637,4.303430557250977
62,0.0,0.0,0.19555783,0.13283294,,0.0,6.4325761795043945,3.7879445552825928
63,55875344.0,0.03212461993098259,0.26504773,0.20802715,8435896832.0,,9.800371170043945,6.095922946929932
64,0.0,0.0,0.23073806,0.20306416,0.0,8967471104.0,8.738341331481934,5.800084590911865
65,0.0,,0.25896996,0.19674478,4.572994483087456e-10,,9.43319320678711,5.149048805236816
66,2.705324896393191e-12,0.0,0.2733245,0.2262625,,8967358464.0,11.091949462890625,6.241278171539307
67,74672488.0,0.03319288790225983,0.25416052,0.1985966,8435785728.0,,8.586434364318848,5.97352933883667
