,A_mu_list_1,A_mu_list_2,Average_list_1,Average_list_2,F_mu_list_1,F_mu_list_2,M_list_1,M_list_2
0,,,0.1906132,0.084883004,0.0,2.1296913623809814,8.783502578735352,4.531229019165039
1,,280111712.0,0.18061848,0.08119516,,,6.891228199005127,3.320051908493042
2,0.007968897931277752,0.0,0.18974267,0.08522046,0.0,2.129610061645508,11.525853157043457,1.282286286354065
3,,0.0,0.18192029,0.0830813,4.674243769819952e-10,0.0,8.420783042907715,1.8494937419891357
4,49057180.0,0.0,0.18338817,0.08320148,,4.958176091918176e-10,9.080849647521973,3.667692184448242
5,110687624.0,,0.18203796,0.082956865,0.0,0.0,6.712377071380615,1.6806546449661255
6,96613688.0,0.0,0.18291864,0.08221671,,,7.218229293823242,2.81992506980896
7,,,0.18329462,0.08284734,0.0,2.1294727325439453,8.876470565795898,1.362196445465088
8,54232472.0,,0.1859348,0.082770064,,0.0,9.590934753417969,2.039750099182129
9,0.0,,0.18581559,0.0837217,0.0,,7.615285396575928,1.3307199478149414
10,,0.0,0.19188581,0.08532158,,,8.60254955291748,2.2711689472198486
11,78776544.0,0.0,0.17887568,0.08120923,,2.129488706588745,7.985522270202637,3.409824848175049
12,0.0,,0.17992514,0.07979347,2.0075433254241943,4.958014554468093e-10,8.274909019470215,2.038959503173828
13,0.0,0.0,0.19738655,0.0865174,2.007605791091919,,10.207144737243652,3.431527853012085
14,,0.0,0.18560418,0.08210868,,0.0,6.699882507324219,2.8033430576324463
15,0.0,0.0,0.19506109,0.08604616,8622638080.0,0.0,9.963526725769043,3.6845364570617676
16,,2.8987088770970892e-11,0.18411636,0.08336056,0.0,2.129330635070801,7.773282051086426,1.4065552949905396
17,,585338880.0,0.18077026,0.0806789,,4.957704802244223e-10,10.065938949584961,1.9602391719818115
18,,,0.17168812,0.07741739,,4.957738664046474e-10,9.032902717590332,2.193613052368164
19,56350660.0,,0.18736131,0.08337474,4.674308162755381e-10,,9.523839950561523,2.02596116065979
20,3.190406706182758e-12,373667296.0,0.19315283,0.086603746,0.0,,8.579977035522461,2.8911397457122803
21,0.010389802977442741,0.07181978970766068,0.18718722,0.08211022,0.0,2.129298686981201,9.770811080932617,3.6768741607666016
22,51929396.0,360102080.0,0.17757425,0.081278846,2.0076608657836914,0.0,10.178925514221191,3.018954277038574
23,0.0,497437344.0,0.1845365,0.083308086,2.0076332092285156,,8.56266975402832,1.7899521589279175
24,59120368.0,0.05600859969854355,0.18665381,0.08331712,4.674504117119227e-10,9145410560.0,9.533276557922363,4.34560489654541
25,0.0,0.0,0.17953745,0.0810608,0.0,,9.847228050231934,4.235896587371826
26,0.018334263935685158,,0.18624242,0.0835041,0.0,,7.0038228034973145,1.5529931783676147
27,3.357540157358785e-12,,0.18714549,0.082458,8622864384.0,4.957688148898853e-10,9.465572357177734,2.7437312602996826
28,50036956.0,0.0,0.1814616,0.08127034,0.0,9145227264.0,9.414429664611816,3.5137548446655273
29,62074236.0,,0.19320697,0.08523908,0.0,0.0,9.315812110900879,4.029932022094727
30,3.705566669481852e-12,0.06326735764741898,0.17506857,0.08012812,0.0,9145580544.0,8.643206596374512,4.064272880554199
31,0.0,461985664.0,0.18232463,0.08294164,4.674584608288512e-10,,8.050508499145508,1.7656961679458618
32,79429608.0,0.0,0.19506635,0.08544691,0.0,,7.8283305168151855,2.4442660808563232
33,,0.0,0.18424863,0.081372276,,,7.244903087615967,1.7310034036636353
34,2.6946710921654793e-12,,0.19092408,0.08429799,2.0077250003814697,4.957724786258666e-10,10.923346519470215,1.95222008228302
35,,0.12337826192378998,0.19464949,0.086487696,0.0,0.0,9.882495880126953,1.9671086072921753
36,0.0,0.0,0.18662752,0.08327381,,2.1291956901550293,10.498298645019531,2.9928109645843506
37,2.624535354669999e-12,1.4539413076275487e-11,0.18321039,0.08318466,0.0,,9.628314971923828,3.824073076248169
38,,0.0,0.18388337,0.081417024,0.0,,8.421952247619629,3.5793704986572266
39,0.0,0.0,0.18502063,0.08224988,2.0076823234558105,,10.035391807556152,2.6635687351226807
40,0.0,0.0,0.18274036,0.08214081,4.674376441471395e-10,,9.656909942626953,3.4021084308624268
41,83886880.0,,0.18285415,0.08409464,,,7.493778705596924,2.224241256713867
42,53738208.0,0.0,0.18322603,0.08374962,4.674244324931465e-10,0.0,9.093921661376953,3.6122312545776367
43,4.205279787589111e-12,0.0,0.18206395,0.08202575,0.0,,8.3145751953125,3.378896713256836
44,,,0.1916533,0.08595614,4.67410887772246e-10,2.129148483276367,9.670799255371094,4.206055164337158
45,42387048.0,,0.189885,0.08503373,,9144387584.0,11.07077693939209,1.4334046840667725
