,A_mu_list_1,A_mu_list_2,Average_list_1,Average_list_2,F_mu_list_1,F_mu_list_2,M_list_1,M_list_2
0,,0.0,0.22646928,0.18000516,2.1505980491638184,0.0,7.03795862197876,4.664813995361328
1,1.8310099530322033e-12,0.03312147781252861,0.34347385,0.21541786,5.007206316243185e-10,0.0,11.031779289245605,5.676969528198242
2,63493628.0,0.03219196945428848,0.24549495,0.19337127,,,8.493346214294434,6.223109722137451
3,96044072.0,,0.22504216,0.17763075,9236731904.0,9378080768.0,7.034875869750977,5.381265163421631
4,0.0,,0.2800507,0.20847674,,2.1834652423858643,9.352800369262695,5.617126941680908
5,0.01357909757643938,5.605259312257971e-12,0.24964827,0.21184988,5.007358971909071e-10,5.08375397334504e-10,9.232069969177246,7.080388069152832
6,0.0,,0.26263368,0.19796917,,,9.230806350708008,6.487315654754639
7,,124870896.0,0.30490568,0.2307686,9237125120.0,,10.394745826721191,6.454307556152344
8,0.012694835662841797,0.03970219939947128,0.28511095,0.17806514,9237159936.0,0.0,8.735280990600586,4.872476577758789
9,2.485869799936924e-12,,0.30564147,0.21484277,5.007482206664804e-10,0.0,9.011661529541016,6.982332706451416
10,,186586256.0,0.21104468,0.1538731,2.1506974697113037,5.083599097233105e-10,7.426521301269531,5.286839485168457
11,0.014336176216602325,,0.25626427,0.17826962,5.007475545326656e-10,,8.677342414855957,5.086435317993164
12,,0.0,0.23203166,0.14880419,9237214208.0,9377075200.0,7.795812606811523,5.010282039642334
13,,,0.23925824,0.19558787,9237230592.0,5.083352072610126e-10,8.218092918395996,6.33422327041626
14,83400112.0,,0.19986457,0.13375512,5.007549375157794e-10,0.0,6.521254062652588,4.023197650909424
15,,0.04864082112908363,0.20237695,0.14519908,9237280768.0,9377236992.0,6.858002185821533,4.167779445648193
16,0.013610940426588058,0.0,0.25124615,0.1681861,0.0,,8.795886039733887,5.2291131019592285
17,,158866176.0,0.26675752,0.18754584,5.007569359172237e-10,5.083223841850781e-10,8.070404052734375,4.497990608215332
18,,0.036467574536800385,0.28530854,0.18407935,,2.183250904083252,8.557989120483398,6.06251859664917
19,,0.031516484916210175,0.21305254,0.18282917,,0.0,7.345877170562744,6.075957298278809
20,2.4956892021726906e-12,,0.30120623,0.21394186,0.0,,8.946494102478027,5.5193867683410645
21,,,0.26926494,0.23817153,,,9.362865447998047,7.827934741973877
22,,0.0,0.23437361,0.19815221,,9376512000.0,8.564062118530273,6.229423522949219
23,,0.0,0.23845722,0.17824732,,0.0,8.356571197509766,5.210017681121826
24,3.858986914739848e-12,,0.235676,0.1836613,5.007641523668838e-10,,7.934979438781738,5.761329650878906
25,4.099322443995579e-12,0.042920731008052826,0.22201397,0.1534404,,5.083022336371812e-10,7.9990458488464355,5.5070672035217285
26,0.0,,0.2471245,0.18730906,9237499904.0,9376541696.0,10.21278190612793,6.23078727722168
27,,0.0,0.27965957,0.188576,2.1507456302642822,,8.942463874816895,5.007472038269043
28,0.012820114381611347,121785464.0,0.26530516,0.20513698,5.007540493373597e-10,0.0,8.988119125366211,5.977211952209473
29,71765144.0,9.927156319200492e-12,0.2127885,0.15318081,,,7.50206184387207,4.803756237030029
30,,0.03211817890405655,0.25015518,0.18315102,,0.0,8.600334167480469,5.833588600158691
31,0.017346568405628204,,0.2089146,0.16364354,,2.183251142501831,7.596858024597168,5.466841220855713
32,0.010033641941845417,0.0,0.30755588,0.21537395,5.007583236960045e-10,5.083199972055752e-10,9.454277992248535,6.380206108093262
33,,,0.23343733,0.17122589,,2.183176279067993,7.6726765632629395,4.435693740844727
34,,0.0,0.2682005,0.20327942,0.0,,9.539774894714355,5.570417881011963
35,,7.140526017690441e-12,0.2384406,0.18857165,,,8.595588684082031,5.6676812171936035
36,,,0.21911617,0.15001906,0.0,0.0,8.151390075683594,4.194255828857422
37,0.017621589824557304,0.0,0.24370988,0.1869602,2.150740146636963,5.083381493520278e-10,7.832446098327637,6.084927558898926
38,,,0.21472296,0.16566809,2.15075945854187,5.083411469541943e-10,7.350401878356934,5.293017864227295
39,,0.0,0.21707098,0.14887476,5.007564363168626e-10,,6.47384786605835,3.97314715385437
40,,0.048149239271879196,0.2206835,0.14546986,0.0,2.1833505630493164,7.259105682373047,3.944851875305176
41,,0.0,0.25226894,0.19949293,,,8.627984046936035,6.657451152801514
42,1.8579677726893173e-12,,0.30394322,0.24874282,9237380096.0,0.0,11.152447700500488,7.409133434295654
43,,,0.24857064,0.19734329,9237335040.0,,8.487213134765625,5.802499771118164
44,,0.0,0.23174897,0.1604348,,,8.065329551696777,5.170495510101318
45,0.0,0.0,0.2672187,0.1898857,9237065728.0,,7.87479305267334,5.04221248626709
46,0.0,0.0,0.2651397,0.19641356,,0.0,8.527713775634766,5.557576656341553
47,,0.0,0.23034638,0.180106,2.150702714920044,0.0,8.334864616394043,5.718939781188965
48,,,0.21970347,0.16199628,0.0,,6.487668037414551,4.881110668182373
49,,0.03749295696616173,0.24404453,0.17128918,,9377461248.0,9.763340950012207,5.734043598175049
50,0.0,0.03744944930076599,0.24608828,0.17360705,,,7.654191970825195,5.032423973083496
51,,0.0,0.23422183,0.17158416,,,7.492608547210693,5.50145149230957
52,64722860.0,,0.24655345,0.18963261,0.0,5.083136134231836e-10,8.447017669677734,5.1213555335998535
53,0.0,0.0,0.29860467,0.1996355,2.1507370471954346,0.0,9.937366485595703,5.523009777069092
54,,,0.24884619,0.17536911,0.0,,8.790349960327148,5.018450736999512
55,,,0.2709796,0.21308374,,9376238592.0,9.355578422546387,5.960730075836182
56,0.014746956527233124,0.03217431530356407,0.26896957,0.19585302,,0.0,8.01025676727295,5.541155815124512
57,76801312.0,0.036737583577632904,0.24979873,0.1821016,5.007533832035449e-10,9375921152.0,7.4069318771362305,5.246885776519775
58,0.0,0.0,0.19764653,0.121481694,2.150710105895996,9375755264.0,5.829578399658203,3.650562047958374
59,69854616.0,,0.2612871,0.17294243,,2.182892084121704,8.094412803649902,5.589455604553223
60,,0.0,0.2946847,0.22302823,2.150672674179077,,9.690410614013672,6.217430591583252
61,,0.059435125440359116,0.22034667,0.13218667,,,8.251761436462402,4.076433181762695
62,2.1328199623082966e-12,,0.2929951,0.24313574,5.007341763452189e-10,5.0823184549742e-10,10.611573219299316,7.003544807434082
63,5.001061197107415e-12,,0.21107708,0.15161881,0.0,,7.375041484832764,4.756667613983154
64,,0.0,0.23283164,0.17535138,,5.082084197916004e-10,8.5692720413208,4.7038254737854
65,,7.102903768624325e-12,0.2750116,0.20543647,,0.0,10.10292911529541,6.207313060760498
66,,0.0,0.1988594,0.13967337,,0.0,6.606313705444336,4.544951438903809
67,,0.0,0.27735174,0.19423403,0.0,9374188544.0,8.703426361083984,5.690877437591553
68,,,0.27516752,0.21810329,,,9.242342948913574,6.8628973960876465
69,0.015306381508708,,0.24235855,0.16749494,0.0,,8.635814666748047,4.752902030944824
70,62653352.0,0.0,0.2412054,0.16839999,0.0,0.0,8.592782020568848,4.707916259765625
71,53951844.0,0.0,0.23816453,0.19058426,9236971520.0,,8.961005210876465,6.132706165313721
72,,0.0,0.3230899,0.24213915,,,10.13325309753418,6.122091293334961
73,55810036.0,0.0,0.25459835,0.20860359,2.1506431102752686,2.182739019393921,9.491606712341309,6.739568710327148
74,4.179106279783573e-12,0.03626907244324684,0.23491539,0.16435552,0.0,9374875648.0,6.877456188201904,4.903912544250488
75,,0.0,0.19425862,0.13103345,2.150653600692749,2.1827807426452637,5.939535140991211,4.428359508514404
76,,,0.19520539,0.14059696,9237108736.0,,5.52851676940918,4.373772144317627
77,4.3517130003667415e-12,,0.20318887,0.15393242,9237174272.0,,6.763739585876465,5.594637393951416
78,0.01021639909595251,,0.30495238,0.23162794,,,9.39450454711914,6.158602237701416
79,0.0,0.03815113380551338,0.23883864,0.16751806,5.007466108430947e-10,9374877696.0,7.644860744476318,5.0704216957092285
80,0.0,0.0,0.21737371,0.16377644,5.007484427110853e-10,0.0,9.069536209106445,5.262523651123047
81,0.009691488929092884,,0.31167787,0.22103465,0.0,,9.74825382232666,6.140477180480957
82,2.552812345194e-12,0.0,0.2933641,0.21297252,9237155840.0,9375322112.0,9.379783630371094,6.279529571533203
83,0.0,0.0,0.21230125,0.14891212,,5.082310128301515e-10,7.400729179382324,4.591354846954346
84,76453584.0,,0.24108522,0.14147297,9236954112.0,5.082184673099732e-10,8.45350170135498,4.880237102508545
85,0.0,,0.23091188,0.1640904,0.0,2.182741403579712,8.166576385498047,5.1428542137146
86,0.015554361045360565,0.0,0.25919056,0.19609742,,9374609408.0,7.934154510498047,6.917048454284668
87,,9.362495154152661e-12,0.21867695,0.15889207,,0.0,7.859075546264648,4.656637191772461
88,4.362869007040748e-12,,0.22235577,0.14977324,,,7.146042823791504,3.9812991619110107
89,82336904.0,,0.19992353,0.12587361,,2.1826908588409424,6.720031261444092,3.6872591972351074
90,,0.0,0.3162139,0.2201334,,0.0,10.329545974731445,7.674023628234863
91,,126303208.0,0.27820018,0.2150567,0.0,,9.18613052368164,6.163362979888916
92,0.0,0.0,0.27179334,0.21378322,5.007223524700066e-10,,8.55538558959961,6.442936897277832
93,,,0.23070888,0.1750994,0.0,,8.181097984313965,5.762579917907715
94,,0.0,0.23375148,0.17321256,,5.082062548567023e-10,7.2981767654418945,6.408360958099365
