,A_mu_list_1,A_mu_list_2,Average_list_1,Average_list_2,F_mu_list_1,F_mu_list_2,M_list_1,M_list_2
0,,0.0,0.34343988,0.31374288,2.074413299560547,,9.01330280303955,6.584423065185547
1,3.180485172102343e-12,0.0,0.3101809,0.28465018,2.0744543075561523,0.0,9.205162048339844,6.271950721740723
2,0.0,6.847212900840116e-12,0.3103907,0.26405656,0.0,0.0,8.462413787841797,5.365746021270752
3,0.0,0.0,0.41833007,0.4001798,,0.0,10.876850128173828,8.487744331359863
4,,0.0,0.3582119,0.32206154,8909805568.0,9324423168.0,9.501042366027832,7.027266502380371
5,2.7892117868827393e-12,0.020730219781398773,0.37589574,0.3438727,8909895680.0,9324311552.0,9.892522811889648,6.9208550453186035
6,,0.0,0.33294043,0.34412494,,,9.190872192382812,7.669493675231934
7,,,0.36351135,0.3609952,4.830157940283186e-10,0.0,8.03126335144043,7.440228462219238
8,,0.024003010243177414,0.32513994,0.3065657,2.0745599269866943,5.0550691410578e-10,9.041475296020508,6.4752092361450195
9,83941424.0,0.0,0.3070471,0.2775628,4.830241762121545e-10,9324974080.0,7.479441165924072,5.326096057891846
10,0.0,0.0,0.33524898,0.30911267,0.0,5.055265095421646e-10,9.19719409942627,7.906117916107178
11,0.0,,0.41080713,0.41962552,4.83038220533416e-10,,10.873170852661133,9.155579566955566
12,0.0,0.0,0.34387806,0.32952207,0.0,,9.352787017822266,6.917214870452881
13,,5.9044613816283675e-12,0.2813936,0.28692853,,2.171203136444092,6.909733295440674,7.225761890411377
14,0.0,0.026134643703699112,0.33205378,0.2826764,4.830512656539554e-10,,7.980373859405518,5.932523250579834
15,0.020878329873085022,,0.2643494,0.24648559,,,6.392030239105225,6.111238479614258
16,2.5223712007971244e-12,0.0,0.3899071,0.37914175,,,10.237985610961914,7.3510823249816895
17,2.3166349481101856e-12,,0.40849608,0.37400633,0.0,5.055263985198621e-10,9.833284378051758,8.73133373260498
18,69425480.0,0.0,0.3600444,0.30108213,,,7.977963447570801,6.54559326171875
19,,0.0,0.28082988,0.23991744,8910839808.0,,7.335770606994629,5.372310161590576
20,0.0,,0.34382603,0.36280695,,5.055135754439277e-10,10.806438446044922,7.890304088592529
21,49892668.0,92320112.0,0.32704857,0.32558712,0.0,0.0,9.673446655273438,7.101579666137695
22,0.0,0.0,0.31833833,0.2708428,8911196160.0,0.0,6.878494739532471,4.933286666870117
23,,,0.31944737,0.29059306,0.0,0.0,8.035805702209473,6.241641998291016
24,0.0,0.022970929741859436,0.38258088,0.3579688,,9324812288.0,10.224922180175781,7.265926361083984
25,3.46283223449928e-12,,0.32146913,0.3090965,,,8.754253387451172,6.454399108886719
26,,0.0,0.28204355,0.24427314,,,6.924545764923096,5.1913909912109375
27,,,0.2617233,0.1896858,,5.055202367820755e-10,5.905671119689941,3.931565284729004
28,59164068.0,,0.30700582,0.27094784,,,8.562878608703613,5.691037654876709
29,0.0,,0.39134127,0.36403853,,,10.473231315612793,7.901066780090332
30,0.0,0.0,0.3328588,0.3357544,4.831106625857728e-10,2.1712119579315186,8.572361946105957,6.68425989151001
31,,0.0,0.31949595,0.29011318,,,7.591860294342041,5.93234395980835
32,0.0,,0.3684801,0.3247463,2.074928045272827,0.0,9.63760757446289,7.168887138366699
33,3.685790821855717e-12,0.0,0.33111095,0.31981212,,0.0,8.75942611694336,7.226391315460205
34,,0.0,0.33714664,0.3256933,,2.1711924076080322,9.798911094665527,7.269063949584961
35,,0.0,0.45427987,0.43393952,0.0,9325166592.0,11.138693809509277,8.348393440246582
36,,0.020831292495131493,0.3677031,0.35041744,4.831067768051867e-10,,9.465301513671875,6.7330708503723145
37,,,0.38268518,0.34092724,0.0,2.1712100505828857,11.091700553894043,7.360105514526367
38,3.9392850960384695e-12,0.0441896989941597,0.28596988,0.21983905,2.0749619007110596,2.1712162494659424,7.6043782234191895,4.116451740264893
39,0.0,4.914289461477317e-12,0.37116292,0.34793323,,0.0,9.433710098266602,6.939972877502441
40,,,0.33290413,0.3020677,0.0,0.0,8.837448120117188,6.680458068847656
41,45190408.0,0.0,0.39192706,0.34689316,,9325559808.0,10.05027961730957,7.344747066497803
42,0.01643316261470318,,0.28594044,0.26904207,2.0749149322509766,,7.622530937194824,5.946832180023193
43,0.0,6.288514414060087e-12,0.31203213,0.2843859,0.0,,9.00290298461914,5.451127052307129
44,70347720.0,6.006377686884612e-12,0.3257235,0.29814264,,9325504512.0,8.118277549743652,5.642874717712402
45,3.4690295341172073e-12,0.0,0.29638335,0.24988756,0.0,0.0,8.259615898132324,5.091156959533691
46,0.0,0.0,0.33907208,0.30903345,2.0748844146728516,9325222912.0,8.399080276489258,7.082719802856445
