,A_mu_list_1,A_mu_list_2,Average_list_1,Average_list_2,F_mu_list_1,F_mu_list_2,M_list_1,M_list_2
0,5.249163083365094e-12,0.0,0.19144179,0.13097124,,4.946069109834639e-10,6.898159027099609,3.7856838703155518
1,0.0,6.892688243081979e-12,0.19902511,0.13612798,,0.0,10.770352363586426,4.6122941970825195
2,,0.0,0.19901972,0.13407503,,,8.905940055847168,4.428832054138184
3,,0.03544649854302406,0.19707868,0.13396306,,0.0,8.663702011108398,3.8555333614349365
4,75788936.0,159508352.0,0.1920886,0.13259785,9328032768.0,,7.944588661193848,3.9622273445129395
5,0.0,,0.1974115,0.13365272,0.0,4.944997189504363e-10,9.784899711608887,4.954317092895508
6,0.0108867846429348,,0.19485794,0.13494946,9328050176.0,2.1239185333251953,9.58443546295166,4.373462677001953
7,0.019062694162130356,7.501909683738095e-12,0.19123377,0.13052423,5.056522422997034e-10,,7.237105369567871,4.358592510223389
8,3.6441453153679415e-12,,0.19362248,0.1339027,0.0,4.944984977051092e-10,8.96656608581543,4.154091835021973
9,,0.027372054755687714,0.18856637,0.13176967,,0.0,9.377555847167969,4.93708610534668
10,79078752.0,0.0395020917057991,0.1980775,0.13547137,,,7.004864692687988,3.58931827545166
11,0.0,8.015246452663938e-12,0.2024981,0.1383656,2.171862840652466,,8.52800464630127,5.237325191497803
12,0.0,123926512.0,0.20175608,0.13840762,2.1717634201049805,,9.968106269836426,4.519698619842529
13,0.009918819181621075,0.0,0.19483931,0.132076,9327118336.0,2.122711181640625,10.107255935668945,5.071267127990723
14,0.0,147127184.0,0.19308987,0.13552876,,0.0,8.458075523376465,4.610910415649414
15,0.00617673434317112,0.02110101841390133,0.19582224,0.13558272,,2.1223182678222656,11.341076850891113,5.302655220031738
16,0.0,0.0,0.18876284,0.13096562,,0.0,8.05286693572998,3.4080255031585693
17,0.0,,0.1958246,0.1343087,5.055740270876186e-10,,7.652349948883057,3.5021989345550537
18,0.016721606254577637,0.0,0.20607147,0.13913865,2.171457290649414,4.940575726308793e-10,7.840447902679443,4.888606071472168
19,83371824.0,0.06022535637021065,0.19422752,0.13317333,,2.121860980987549,6.474873065948486,2.5447328090667725
20,0.00850767269730568,,0.19920276,0.1369301,9325459456.0,,11.184699058532715,6.231886386871338
21,48176704.0,0.0,0.1929831,0.13523448,5.055031948586475e-10,9113467904.0,9.900991439819336,5.185577869415283
22,,0.0,0.19890566,0.13751046,0.0,9114533888.0,10.65189266204834,4.770370006561279
23,0.0,0.030835650861263275,0.20129004,0.13922451,5.053650831143841e-10,,9.207097053527832,4.221508026123047
24,,0.0,0.19683087,0.13693258,,,8.616958618164062,4.8363237380981445
25,3.3833482890321953e-12,0.0,0.19214045,0.13494384,2.1703855991363525,,8.923208236694336,4.374267101287842
26,,0.0,0.20561326,0.14296648,0.0,0.0,9.52534294128418,4.6770758628845215
27,42523596.0,0.0,0.2019575,0.14116932,2.170536518096924,,10.966728210449219,5.631979465484619
28,,0.0,0.18935162,0.13509734,0.0,,7.753859043121338,4.236046314239502
29,,9.080031865282834e-12,0.19541508,0.13813628,,9111286784.0,8.077055931091309,3.8258731365203857
30,0.01242477260529995,,0.19598119,0.13685587,,,8.486376762390137,5.067756175994873
31,,,0.1889891,0.137298,9318459392.0,0.0,7.625220775604248,3.6909821033477783
32,69788320.0,,0.192239,0.13754721,,,8.273018836975098,4.383455276489258
33,0.019391877576708794,0.0,0.20601721,0.14210156,0.0,0.0,6.851760387420654,4.025607585906982
34,3.517065761890481e-12,0.0,0.19327623,0.14036891,9317106688.0,,8.409605979919434,4.770065784454346
35,3.1330489418113228e-12,,0.20468718,0.1430403,,4.940465259117843e-10,8.154454231262207,4.274294376373291
