,A_mu_list_1,A_mu_list_2,Average_list_1,Average_list_2,F_mu_list_1,F_mu_list_2,M_list_1,M_list_2
0,65428940.0,0.0,0.17384593,0.08637824,2.053316593170166,,9.134812355041504,3.0072031021118164
1,,,0.18907388,0.08961911,,0.0,10.49905014038086,3.7245075702667236
2,,0.0,0.18423297,0.08796894,8819027968.0,,7.43447208404541,2.920354127883911
3,,,0.19075389,0.08991959,,0.0,9.68339729309082,3.5179591178894043
4,65632628.0,0.0,0.18744184,0.09004343,,4.960109545315561e-10,9.235856056213379,3.1879122257232666
5,,0.0,0.18229358,0.08668247,0.0,4.960133970222103e-10,8.602129936218262,3.0163445472717285
6,0.0,,0.20087202,0.09421962,,0.0,10.070608139038086,4.1302361488342285
7,0.0,0.05352020263671875,0.17662865,0.08760812,8818849792.0,,9.024907112121582,3.3981637954711914
8,,195981456.0,0.19296734,0.091372184,,0.0,9.979928970336914,3.3769288063049316
9,114747208.0,2.330443303610874e-11,0.17725533,0.08399619,,0.0,5.395139217376709,1.943183422088623
10,0.01387907937169075,226346944.0,0.1864466,0.090337306,4.780683071636815e-10,0.0,9.021028518676758,3.3587076663970947
11,,8.502087922579449e-12,0.18903439,0.09085986,0.0,2.1304469108581543,10.66142749786377,3.7499454021453857
12,,,0.19558738,0.09126879,2.0533950328826904,,11.340394973754883,4.037975788116455
13,,0.05200677737593651,0.19268043,0.09021948,0.0,2.1304290294647217,10.3831205368042,3.1728532314300537
14,3.495984534848673e-12,0.0,0.18469988,0.08909862,,4.960141186671763e-10,8.958426475524902,3.48641300201416
15,0.0,168162304.0,0.18684335,0.09044011,0.0,,11.09110164642334,3.6730308532714844
16,,0.0,0.18457273,0.08960437,8818224128.0,,9.650580406188965,3.3565526008605957
17,0.0,0.03031604364514351,0.1921938,0.09349948,,,10.649429321289062,4.113511085510254
18,,,0.19450204,0.09109301,,0.0,8.294832229614258,3.0749404430389404
19,0.01390836387872696,,0.18924138,0.09084608,4.780472684373649e-10,,8.81358528137207,3.8100759983062744
20,65246288.0,0.0,0.17158529,0.086181365,4.780755236133416e-10,0.0,9.353856086730957,3.671220541000366
21,,,0.17870684,0.08681206,,2.1302852630615234,8.335681915283203,3.2061800956726074
22,0.0,0.0,0.1805858,0.090730675,,4.959908594948104e-10,9.782903671264648,3.4370663166046143
23,,158953072.0,0.18469809,0.09048609,0.0,4.959875288257365e-10,8.781394958496094,3.898545980453491
24,0.0,259603504.0,0.197716,0.09349661,0.0,9149112320.0,10.08219051361084,2.765533924102783
25,3.5977559906946732e-12,0.0,0.19245309,0.09387143,4.779614481975614e-10,,8.607830047607422,3.343839406967163
26,4.045154402415596e-12,0.0,0.18182552,0.090202525,0.0,0.0,9.043686866760254,3.676623582839966
27,3.2647246451383838e-12,,0.1866709,0.09084983,2.0528182983398438,9148867584.0,9.048391342163086,3.038767099380493
28,0.0,0.0,0.18788533,0.094087064,,0.0,10.393407821655273,3.5055108070373535
29,0.0,0.0,0.19411142,0.094540514,,0.0,10.220479011535645,3.5746753215789795
30,,0.0,0.19343552,0.09532513,,,9.210143089294434,2.737044095993042
31,0.0,0.05593197047710419,0.1891229,0.09466489,,2.1300418376922607,7.225360870361328,2.865445613861084
32,0.0,,0.19548053,0.0955729,0.0,0.0,10.03884506225586,3.6834588050842285
33,0.0,0.0,0.19058989,0.09387656,2.0522735118865967,2.1299774646759033,9.903541564941406,3.7043333053588867
34,,,0.18232137,0.09074122,,,7.372617721557617,2.68412709236145
35,0.0,0.0,0.18644702,0.09226069,8813601792.0,,9.2963285446167,2.913666248321533
36,67640840.0,,0.18467316,0.094215475,2.0520362854003906,,8.241722106933594,3.0746822357177734
37,,,0.18898739,0.09583778,4.77755168759586e-10,,9.99652099609375,3.817918062210083
38,,,0.18905811,0.097118184,0.0,0.0,10.869057655334473,3.238506555557251
39,0.02076885662972927,0.0,0.18947278,0.09589866,,0.0,7.548460483551025,2.667146682739258
40,3.67369893186642e-12,0.0,0.18589257,0.09622008,4.777237494479891e-10,,8.548826217651367,3.0493569374084473
41,75942296.0,0.0,0.18325193,0.0924115,,,8.268448829650879,2.7531754970550537
42,,,0.18971638,0.0966568,0.0,0.0,7.634545803070068,2.2112581729888916
43,,0.04274614900350571,0.18814468,0.097375676,0.0,9147512832.0,10.129169464111328,3.1649279594421387
44,0.0,0.0,0.1865713,0.096077934,,,6.53076696395874,2.2690768241882324
45,0.0,,0.19785461,0.101211384,4.776044004728419e-10,2.129709243774414,9.908195495605469,3.282668113708496
46,,0.0,0.18404327,0.095108084,,0.0,9.787187576293945,3.0048038959503174
47,57225124.0,,0.20514724,0.10550854,0.0,,10.007553100585938,2.940282106399536
48,0.009234956465661526,,0.19683139,0.10209477,8808626176.0,,11.02685546875,3.4006519317626953
49,0.0,8.617418410794553e-12,0.19635266,0.103721105,,9146593280.0,9.321672439575195,3.785106897354126
50,0.0,0.059799741953611374,0.18369985,0.09722028,4.774665662843347e-10,,7.67739200592041,2.605551242828369
51,0.0,1.2800480293784222e-11,0.19441734,0.10042091,0.0,4.958315424907767e-10,9.00106143951416,2.9478864669799805
52,,1.2963470574778313e-11,0.18898371,0.10155646,,0.0,7.250364780426025,2.442656993865967
53,3.6909676703889005e-12,168136128.0,0.18748856,0.101561114,0.0,2.1295344829559326,8.155173301696777,3.704166889190674
54,,,0.18732366,0.1006253,4.773795803103553e-10,2.1295437812805176,7.0366435050964355,2.356236219406128
55,,0.0,0.1971659,0.10494075,,0.0,8.767158508300781,2.630345106124878
56,,,0.19436827,0.10296335,,0.0,8.939985275268555,3.7427330017089844
57,76968384.0,205504160.0,0.20282455,0.109804764,0.0,,8.305416107177734,3.1359944343566895
58,0.016846995800733566,217764688.0,0.20298578,0.106931545,0.0,0.0,8.112332344055176,3.1493396759033203
59,0.013883519917726517,150485776.0,0.18225217,0.10284972,0.0,,9.120402336120605,3.665846109390259
60,0.014046812430024147,206985264.0,0.18952356,0.10412143,0.0,2.1293702125549316,9.263208389282227,3.3535125255584717
61,,269201536.0,0.18846945,0.10534072,,,7.478786468505859,2.574899911880493
62,,0.06334611773490906,0.19332595,0.10748537,8800204800.0,9145234432.0,8.750897407531738,2.774299144744873
63,,0.0,0.19287337,0.11161508,,,7.543198108673096,2.782078742980957
64,,278264544.0,0.18556255,0.106374,2.0485172271728516,2.129199743270874,7.329528331756592,2.3431544303894043
65,,0.06502771377563477,0.18668894,0.1046774,8797621248.0,9144950784.0,7.5554375648498535,2.6255810260772705
66,0.0,1.1541540292925312e-11,0.18875118,0.10868047,4.768793138154592e-10,,8.988786697387695,3.3151421546936035
67,62132036.0,0.0,0.18999468,0.1081333,0.0,4.957471655409051e-10,9.00490951538086,3.411113977432251
68,,1.1284400497357794e-11,0.20287947,0.11218504,0.0,4.95738727845918e-10,9.58871841430664,3.0581586360931396
