,counter,losses
0,0,2.2965245246887207
1,640,2.296311855316162
2,1280,2.3124241828918457
3,1920,2.3003969192504883
4,2560,2.3104965686798096
5,3200,2.309893846511841
6,3840,2.2895090579986572
7,4480,2.309403896331787
8,5120,2.2982916831970215
9,5760,2.295858383178711
10,6400,2.285801887512207
11,7040,2.2690494060516357
12,7680,2.2721853256225586
13,8320,2.245760440826416
14,8960,2.231593608856201
15,9600,2.212883472442627
16,10240,2.1661226749420166
17,10880,2.1157681941986084
18,11520,1.9221583604812622
19,12160,1.7636111974716187
20,12800,1.3822921514511108
21,13440,1.1557466983795166
22,14080,1.100174069404602
23,14720,0.9525561332702637
24,15360,1.090398907661438
25,16000,1.0211542844772339
26,16640,0.8715152740478516
27,17280,0.7644124031066895
28,17920,0.8612979054450989
29,18560,1.2635012865066528
30,19200,0.45595815777778625
31,19840,0.64213627576828
32,20480,0.49714428186416626
33,21120,0.9116292595863342
34,21760,0.6871054768562317
35,22400,0.575516939163208
36,23040,0.7188583016395569
37,23680,0.6548019647598267
38,24320,0.6613535284996033
39,24960,0.48929643630981445
40,25600,0.503624677658081
41,26240,0.536699652671814
42,26880,0.46090179681777954
43,27520,0.7595151662826538
44,28160,0.3883934020996094
45,28800,0.7374929189682007
46,29440,0.4596211314201355
47,30080,0.5904402136802673
48,30720,0.46225085854530334
49,31360,1.1119998693466187
50,32000,0.5516823530197144
51,32640,0.5298993587493896
52,33280,0.42490071058273315
53,33920,0.8520818948745728
54,34560,0.6077738404273987
55,35200,0.8149401545524597
56,35840,0.38156983256340027
57,36480,0.705375611782074
58,37120,0.47075867652893066
59,37760,0.3779328167438507
60,38400,0.489531934261322
61,39040,0.4954003095626831
62,39680,0.4943042993545532
63,40320,0.4223502278327942
64,40960,0.29803329706192017
65,41600,0.39036792516708374
66,42240,0.36405789852142334
67,42880,0.534424901008606
68,43520,0.36819979548454285
69,44160,0.3937283158302307
70,44800,0.26925185322761536
71,45440,0.29634377360343933
72,46080,0.41030970215797424
73,46720,0.30446556210517883
74,47360,0.37687206268310547
75,48000,0.46670055389404297
76,48640,0.2726837694644928
77,49280,0.21110519766807556
78,49920,0.3102155029773712
79,50560,0.4134739339351654
80,51200,0.1746177077293396
81,51840,0.36667394638061523
82,52480,0.33501267433166504
83,53120,0.2692761719226837
84,53760,0.540784478187561
85,54400,0.4078526198863983
86,55040,0.1928682029247284
87,55680,0.39346927404403687
88,56320,0.21210241317749023
89,56960,0.39308127760887146
90,57600,0.34266045689582825
91,58240,0.18365007638931274
92,58880,0.09708928316831589
93,59520,0.3649684190750122
94,60000,0.4527312219142914
95,60640,0.3779686391353607
96,61280,0.36623069643974304
97,61920,0.32805266976356506
98,62560,0.23540258407592773
99,63200,0.4824349284172058
100,63840,0.4342191219329834
101,64480,0.4049094319343567
102,65120,0.26861312985420227
103,65760,0.3873441219329834
104,66400,0.4523348808288574
105,67040,0.4408789575099945
106,67680,0.4297073483467102
107,68320,0.2166837453842163
108,68960,0.0470346175134182
109,69600,0.3133465051651001
110,70240,0.4850740432739258
111,70880,0.37730419635772705
112,71520,0.46377310156822205
113,72160,0.2967934012413025
114,72800,0.2120651751756668
115,73440,0.32868197560310364
116,74080,0.2807082533836365
117,74720,0.2773362398147583
118,75360,0.31004059314727783
119,76000,0.19688692688941956
120,76640,0.4436410367488861
121,77280,0.3049663007259369
122,77920,0.4052552282810211
123,78560,0.07893016934394836
124,79200,0.24665798246860504
125,79840,0.401164710521698
126,80480,0.19869275391101837
127,81120,0.4324421286582947
128,81760,0.2406463921070099
129,82400,0.13725246489048004
130,83040,0.2624559700489044
131,83680,0.44049039483070374
132,84320,0.30115145444869995
133,84960,0.14353138208389282
134,85600,0.3428516685962677
135,86240,0.2710554897785187
136,86880,0.17119136452674866
137,87520,0.3564482033252716
138,88160,0.12514092028141022
139,88800,0.2049247920513153
140,89440,0.305841863155365
141,90080,0.15769773721694946
142,90720,0.3123614192008972
143,91360,0.46064597368240356
144,92000,0.3613277077674866
145,92640,0.1828758716583252
146,93280,0.2796366810798645
147,93920,0.2784113883972168
148,94560,0.16993296146392822
149,95200,0.251822292804718
150,95840,0.30729466676712036
151,96480,0.3181585371494293
152,97120,0.437081515789032
153,97760,0.35895586013793945
154,98400,0.23007914423942566
155,99040,0.2553265392780304
156,99680,0.41074174642562866
157,100320,0.3884824216365814
158,100960,0.17644231021404266
159,101600,0.2331976741552353
160,102240,0.23666901886463165
161,102880,0.1348104178905487
162,103520,0.2620719373226166
163,104160,0.1599755734205246
164,104800,0.13901755213737488
165,105440,0.15397952497005463
166,106080,0.24365068972110748
167,106720,0.19518250226974487
168,107360,0.25483593344688416
169,108000,0.17319297790527344
170,108640,0.1490151286125183
171,109280,0.18115916848182678
172,109920,0.38206106424331665
173,110560,0.35486477613449097
174,111200,0.16594237089157104
175,111840,0.3882562220096588
176,112480,0.22232413291931152
177,113120,0.18177732825279236
178,113760,0.4573729634284973
179,114400,0.2544934153556824
180,115040,0.14031323790550232
181,115680,0.21319995820522308
182,116320,0.23522330820560455
183,116960,0.18007376790046692
184,117600,0.13912516832351685
185,118240,0.28622767329216003
186,118880,0.17896413803100586
187,119520,0.5788630843162537
