,A_mu_list_1,A_mu_list_2,Average_list_1,Average_list_2,F_mu_list_1,F_mu_list_2,M_list_1,M_list_2
0,,,0.0063183117,0.0007470725,,,7.439298152923584,0.5538972616195679
1,0.0,0.5821207165718079,0.006121626,0.0007314858,0.0,9090003968.0,8.223000526428223,1.0453513860702515
2,,0.6899262070655823,0.006218531,0.00076556706,,2.1164309978485107,9.36946964263916,0.722798764705658
3,,0.0,0.006396951,0.0007865536,0.0,,8.672126770019531,1.5943603515625
4,,0.43206682801246643,0.006259238,0.00077508675,8810586112.0,,10.394501686096191,1.3392605781555176
5,,,0.0062141977,0.000738524,,,9.232857704162598,1.3044075965881348
6,0.0,0.0,0.006137431,0.00075076707,8810580992.0,,8.803695678710938,0.770311176776886
7,0.0,18152347648.0,0.0063546314,0.0007715502,,9090004992.0,9.45752239227295,0.20601747930049896
8,0.0,,0.00625103,0.00077359757,8810578944.0,0.0,8.93626594543457,0.4994058310985565
9,0.0,,0.0063549993,0.0007685128,0.0,0.0,8.424591064453125,0.8692936301231384
10,,0.0,0.0061409418,0.0007387623,,0.0,7.941762924194336,0.6767701506614685
11,3.1538409037135118e-12,,0.006441134,0.00077096914,0.0,,8.996930122375488,0.781472384929657
12,0.013387041166424751,0.0,0.006697286,0.0008004376,,9089982464.0,9.164399147033691,0.9320653080940247
13,,,0.0063303486,0.0007541649,,,7.574734687805176,1.0195322036743164
14,0.0,0.0,0.0061962474,0.00076182827,0.0,,6.034831523895264,0.9558886885643005
15,0.010088566690683365,,0.006298415,0.0007498224,8810585088.0,,9.75831413269043,1.0088502168655396
16,3.0989462298375292e-12,0.9138008952140808,0.0061814873,0.00074828375,,,8.785341262817383,0.7201736569404602
17,,0.0,0.0066242777,0.0007716116,4.776229411973532e-10,0.0,6.9240264892578125,0.606686532497406
18,72016616.0,,0.0063282833,0.0007537985,0.0,0.0,7.3706955909729,0.7926715016365051
19,0.018944228067994118,,0.0063041425,0.00075632404,0.0,0.0,6.5027594566345215,0.4952896237373352
20,4.311480859831018e-12,4665096192.0,0.0063544186,0.0007558783,,2.116434097290039,7.81446647644043,0.5733791589736938
21,,1.1650683879852295,0.0062138764,0.00076797954,,0.0,7.0571393966674805,0.7245416641235352
22,5.362600988267907e-12,1.8105080127716064,0.0063123605,0.0007733953,,0.0,5.580422878265381,0.46169784665107727
23,0.0,0.0,0.006540178,0.0007656004,,,7.51884126663208,0.9382656216621399
24,4.8259113719084645e-12,0.0,0.006325748,0.00074215047,,0.0,6.9631195068359375,0.6871697306632996
