,M_list_1,Average_list_1,F_mu_list_1,A_mu_list_1,M_list_2,Average_list_2,F_mu_list_2,A_mu_list_2
0,9.485182762145996,0.12458004,1.9358696937561035,1.78469979763031,3.5754199028015137,0.063648865,2.750121593475342,2.0076818466186523
1,6.440268039703369,0.12229914,1.9358892440795898,1.8934264183044434,2.4492523670196533,0.063348204,2.750138998031616,1.900383472442627
2,9.340484619140625,0.12470453,1.93584406375885,1.8692833185195923,4.479894638061523,0.06386223,2.750143527984619,1.750133752822876
3,9.536423683166504,0.1239541,1.9358692169189453,1.7036285400390625,4.306999683380127,0.06343658,2.750110149383545,1.836020827293396
4,7.578543186187744,0.12494169,1.9358638525009155,2.1264381408691406,2.764183282852173,0.06330813,2.750102996826172,1.9426064491271973
5,7.614978313446045,0.12104626,1.9358437061309814,2.2036030292510986,3.2017552852630615,0.06289636,2.750110626220703,1.9287545680999756
6,8.534317970275879,0.1213728,1.935839295387268,1.9373390674591064,3.9924240112304688,0.0632893,2.750121593475342,1.8276170492172241
7,8.817436218261719,0.12272234,1.9358885288238525,1.8611074686050415,3.2147679328918457,0.06386491,2.750087261199951,1.8785072565078735
8,9.382325172424316,0.12484681,1.9358407258987427,1.7782697677612305,4.082526206970215,0.06418886,2.750114917755127,1.7787948846817017
9,9.48279094696045,0.124182545,1.9358031749725342,1.6479713916778564,3.666818618774414,0.06472797,2.750105381011963,1.8996963500976562
10,7.190735340118408,0.123064645,1.9358100891113281,2.081028461456299,2.8829686641693115,0.062836275,2.7501327991485596,2.0335588455200195
11,8.82860279083252,0.12746868,1.9357504844665527,1.7674689292907715,2.9618403911590576,0.06516347,2.7500903606414795,1.944136381149292
12,9.399806022644043,0.1275832,1.9356871843338013,1.8338623046875,3.658547878265381,0.06441802,2.750075340270996,1.8630183935165405
13,8.434675216674805,0.12624519,1.935661792755127,1.9872839450836182,3.9930498600006104,0.06453024,2.7500758171081543,1.891599178314209
14,8.804499626159668,0.12237425,1.935644507408142,1.8538697957992554,3.5929887294769287,0.064333946,2.750091552734375,1.6599411964416504
15,8.12784481048584,0.12006338,1.9356310367584229,1.9679018259048462,3.102172374725342,0.062506095,2.750070571899414,1.8845940828323364
16,7.821194171905518,0.12620218,1.9356008768081665,2.1348304748535156,3.6555402278900146,0.065261304,2.7500510215759277,1.9619693756103516
17,10.288840293884277,0.12827444,1.935534119606018,1.6602247953414917,3.8958821296691895,0.06561908,2.7500827312469482,1.8928067684173584
18,10.053009033203125,0.12463514,1.9355610609054565,1.633658766746521,4.25472354888916,0.06435932,2.750075578689575,1.8904776573181152
19,9.681546211242676,0.12880954,1.9355456829071045,1.6657295227050781,3.676832437515259,0.06658077,2.7500252723693848,1.979547381401062
20,10.70040512084961,0.122790575,1.9355279207229614,1.6512378454208374,4.691193103790283,0.06390155,2.750044345855713,1.8038371801376343
21,7.419897079467773,0.12155375,1.9354743957519531,2.1497080326080322,3.3562920093536377,0.062541194,2.750030040740967,1.9503300189971924
22,8.203109741210938,0.12515548,1.9354450702667236,1.6558946371078491,3.4130492210388184,0.064905986,2.750046730041504,1.7931678295135498
23,7.38191556930542,0.12292331,1.9354649782180786,1.771981954574585,2.71669602394104,0.06303138,2.7500412464141846,1.7462767362594604
24,11.268399238586426,0.12757759,1.935425877571106,1.4496586322784424,3.9213478565216064,0.06547248,2.750065326690674,1.9053895473480225
25,8.173930168151855,0.12348314,1.9354368448257446,1.9926122426986694,3.0810914039611816,0.06334853,2.749999523162842,1.8661081790924072
26,9.541759490966797,0.12580718,1.9354254007339478,1.6970975399017334,3.5422816276550293,0.06609286,2.749966621398926,1.7761863470077515
27,8.50141429901123,0.12695228,1.9354069232940674,1.8937251567840576,3.561821699142456,0.0653155,2.749943256378174,1.7035671472549438
28,9.807758331298828,0.12675942,1.9353678226470947,1.6189007759094238,4.087000370025635,0.0654576,2.7499232292175293,1.775901436805725
29,8.978628158569336,0.12721652,1.9353333711624146,1.8701930046081543,3.781135320663452,0.06628734,2.74993634223938,1.8908244371414185
30,10.462371826171875,0.1289343,1.9353364706039429,1.6185401678085327,4.454846382141113,0.066139996,2.749910354614258,1.6427944898605347
31,11.596453666687012,0.12757921,1.9353173971176147,1.412683367729187,4.375365257263184,0.065243974,2.74995756149292,1.6521549224853516
32,8.8460054397583,0.11555249,1.935262680053711,1.9354543685913086,3.848564863204956,0.060652547,2.7500152587890625,1.8575701713562012
